#: table_doi: 10.17182/hepdata.155181.v1/t1
#: name: table_1
#: description: Differential cross section of isolated photons measured in pp collisions at 13 TeV.
#: data_file: table_1.yaml
#: keyword observables: dSigma of isolated photon
#: keyword reactions: pp -> $\gamma$ X
#: keyword cmenergies: 13000
#: REACTION,,,pp -> $\gamma$ X
#: SQRT(S) [GeV],,,13000
#: Isolation cut,,,R = 0.4, $p_{\mathrm{T}}^{iso,ch,UE}$ < 1.5 GeV/$\mathrm{c}$, charged particle only
#: Rapidity range,,,-0.67 to 0.67
$p_\mathrm{T}^{\gamma}$ [GeV/$\mathrm{c}$],$p_\mathrm{T}^{\gamma}$ [GeV/$\mathrm{c}$] LOW,$p_\mathrm{T}^{\gamma}$ [GeV/$\mathrm{c}$] HIGH,$d^{2}\mathrm{\sigma_{\gamma}}^{iso} / d{p}_{\mathrm{T}}^{\gamma}d\mathrm{\eta}$ [nb/GeV/$\mathrm{c}$],stat +,stat -,sys +,sys -
7.5,7.0,8.0,192.19,5.517,-5.517,68.082,-68.082
8.5,8.0,9.0,115.68,3.437,-3.437,25.475,-25.475
9.5,9.0,10.0,75.799,2.3172,-2.3172,11.591,-11.591
10.5,10.0,11.0,51.683,1.6574,-1.6574,6.8727,-6.8727
11.5,11.0,12.0,37.119,1.2248,-1.2248,4.5121,-4.5121
13.0,12.0,14.0,24.888,0.32335,-0.32335,2.9188,-2.9188
15.0,14.0,16.0,15.06,0.13826,-0.13826,1.4323,-1.4323
17.0,16.0,18.0,9.7041,0.092419,-0.092419,0.91453,-0.91453
19.0,18.0,20.0,6.4478,0.066825,-0.066825,0.60898,-0.60898
22.5,20.0,25.0,3.5905,0.027955,-0.027955,0.34899,-0.34899
27.5,25.0,30.0,1.5705,0.017222,-0.017222,0.15407,-0.15407
32.5,30.0,35.0,0.79287,0.011883,-0.011883,0.086577,-0.086577
37.5,35.0,40.0,0.43657,0.0084573,-0.0084573,0.047821,-0.047821
42.5,40.0,45.0,0.26273,0.00632,-0.00632,0.029513,-0.029513
47.5,45.0,50.0,0.1598,0.0048198,-0.0048198,0.017899,-0.017899
55.0,50.0,60.0,0.089986,0.0024878,-0.0024878,0.010208,-0.010208
70.0,60.0,80.0,0.032796,0.0010238,-0.0010238,0.003752,-0.003752
90.0,80.0,100.0,0.0096342,0.00053551,-0.00053551,0.0011298,-0.0011298
110.0,100.0,120.0,0.0038599,0.00033333,-0.00033333,0.00046947,-0.00046947
140.0,120.0,160.0,0.0014817,0.00014373,-0.00014373,0.00018655,-0.00018655
180.0,160.0,200.0,0.00047432,8.0538e-05,-8.0538e-05,6.0979e-05,-6.0979e-05

