#: table_doi: 10.17182/hepdata.165479.v1/t5
#: name: RpA 8.16 TeV
#: description: Nuclear modification factor 'RpPb' for isolated prompt photon production in p--Pb collisions at 8.16 TeV.
#: data_file: data5.yaml
#: keyword observables: RPB
#: keyword reactions: P Pb --> ISO GAMMA X
#: keyword cmenergies: 8160
#: REACTION,,,P Pb --> ISO GAMMA X
#: ABS(YRAP),,,<0.7
#: SQRT(S) [GEV],,,8160.0
#: Isolation cut,,,R = 0.4, $p_{\mathrm{T}}^{iso,ch}$ < 1.5 GeV/$\mathrm{c}$, charged particle only
PT [GEV/c],PT [GEV/c] LOW,PT [GEV/c] HIGH,RpPb [],stat +,stat -,sys +,sys -,norm +,norm -
13.0,12,14,0.797552,0.0111726,-0.0111726,0.0884941,-0.0884941,0.0371117,-0.0371117
15.0,14,16,0.862891,0.0177349,-0.0177349,0.0813797,-0.0813797,0.0401521,-0.0401521
17.0,16,18,0.898273,0.0257302,-0.0257302,0.0828486,-0.0828486,0.0417985,-0.0417985
19.0,18,20,0.940323,0.0354519,-0.0354519,0.0868471,-0.0868471,0.0437551,-0.0437551
22.5,20,25,0.894097,0.030445,-0.030445,0.0835222,-0.0835222,0.0416041,-0.0416041
27.5,25,30,0.933998,0.0491133,-0.0491133,0.0889726,-0.0889726,0.0434608,-0.0434608
35.0,30,40,0.906562,0.0542694,-0.0542694,0.0892545,-0.0892545,0.0421841,-0.0421841
50.0,40,60,0.949937,0.0892145,-0.0892145,0.100837,-0.100837,0.0442025,-0.0442025
70.0,60,80,1.22636,0.285278,-0.285278,0.145457,-0.145457,0.0570648,-0.0570648

